id_aluno,id_curso,id_grupo,id_modalidade,id_turno,id_status,curso,grupo,modalidade,turno,status_matricula,dt_matricula,dt_cancelamento,motivo_cancelamento,idade,genero,mensalidade,desconto,mensalidade_paga
16,45,2,1,3,4,COMUNICACAO E INTELIGENCIA DE MERCADO,COMUNICACAO E ARTES,PRESENCIAL,NOITE,TRANCADO,2019-01-01,2022-01-15,,46,F,885.55,0.29,628.74
17,19,5,1,2,3,FONOAUDIOLOGIA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,FORMADO,2019-01-01,,,23,M,3600.68,0.21,2844.54
18,37,1,1,3,3,MEDIACAO,CIENCIAS JURIDICAS,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,35,M,3319.4,0.24,2522.74
19,43,1,1,2,3,SERVIÇOS PENAIS,CIENCIAS JURIDICAS,PRESENCIAL,TARDE,FORMADO,2019-01-01,,,47,F,2119.76,0.02,2077.36
20,77,9,2,3,1,BIG DATA E INTELIGENCIA ANALITICA,TI E COMPUTACAO,SEMIPRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,34,F,4106.98,0.07,3819.49
21,6,7,2,3,1,DESIGN DE MODA,ARQUITETURA E URBANISMO E DESIGN,SEMIPRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,41,F,1380.33,0.59,565.94
22,28,6,2,3,1,LETRAS - INGLES,CIENCIAS HUMANAS,SEMIPRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,31,M,2398.04,0.35,1558.73
23,13,5,1,2,1,CIENCIAS BIOLOGICAS (LICENCIATURA),CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,45,M,2953.53,0.22,2303.75
24,54,10,1,3,2,ENGENHARIA DE CONTROLE E AUTOMACAO,ENGENHARIAS,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2023-03-13,EMPREGO,53,F,872.31,0.3,610.62
25,86,3,2,2,2,GASTRONOMIA,TURISMO E HOSPITALIDADE,SEMIPRESENCIAL,TARDE,CANCELADO,2019-01-01,2019-12-10,INADIMPLENCIA,38,M,1537.46,0.55,691.86
26,9,8,1,3,2,GESTAO AMBIENTAL,CIENCIAS AGRARIAS E MEIO AMBIENTE,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2022-10-05,TRANSFERENCIA,19,M,4412.44,0.48,2294.47
27,51,10,1,2,4,ENGENHARIA AMBIENTAL,ENGENHARIAS,PRESENCIAL,TARDE,TRANCADO,2019-01-01,2022-10-04,,37,M,1660.95,0.25,1245.71
28,82,9,1,2,2,SEGURANCA DA INFORMACAO,TI E COMPUTACAO,PRESENCIAL,TARDE,CANCELADO,2019-01-01,2020-03-04,INADIMPLENCIA,34,F,1427.12,0.13,1241.59
29,10,8,1,2,4,GESTAO DO AGRONEGOCIO,CIENCIAS AGRARIAS E MEIO AMBIENTE,PRESENCIAL,TARDE,TRANCADO,2019-01-01,2021-01-26,,27,F,4014.98,0.3,2810.49
30,26,6,3,1,4,GEOGRAFIA,CIENCIAS HUMANAS,EAD,MANHA,TRANCADO,2019-01-01,2021-03-22,,24,M,1704.8,0.04,1636.61
31,15,5,2,3,1,ENFERMAGEM,CIENCIAS BIOLOGICAS E DA SAUDE,SEMIPRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,22,F,3184.72,0.14,2738.86
32,40,1,1,2,1,SEGURANCA PUBLICA,CIENCIAS JURIDICAS,PRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,46,M,1745.87,0.6,698.35
33,17,5,1,3,2,FARMACIA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2021-05-27,EMPREGO,51,M,1352.39,0.07,1257.72
34,19,5,1,3,2,FONOAUDIOLOGIA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2019-04-08,INSATISFACAO,22,M,3297.26,0.44,1846.47
35,37,1,2,1,1,MEDIACAO,CIENCIAS JURIDICAS,SEMIPRESENCIAL,MANHA,MATRICULADO,2019-01-01,,,27,F,3719.19,0.21,2938.16
36,36,1,1,3,1,DIREITO,CIENCIAS JURIDICAS,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,50,M,2116.29,0.49,1079.31
37,21,5,3,3,2,NUTRICAO,CIENCIAS BIOLOGICAS E DA SAUDE,EAD,NOITE,CANCELADO,2019-01-01,2020-04-02,EMPREGO,19,F,789.87,0.47,418.63
38,42,1,1,3,3,SERVIÇOS NOTARIAIS E REGISTRAIS,CIENCIAS JURIDICAS,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,46,M,2862.54,0.24,2175.53
39,17,5,1,2,2,FARMACIA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,CANCELADO,2019-01-01,2021-05-30,INSATISFACAO,25,M,3777.66,0.53,1775.5
40,53,10,1,2,3,ENGENHARIA DA COMPUTACAO,ENGENHARIAS,PRESENCIAL,TARDE,FORMADO,2019-01-01,,,45,M,2487.66,0.5,1243.83
41,4,7,3,2,4,DESIGN DE GAMES,ARQUITETURA E URBANISMO E DESIGN,EAD,TARDE,TRANCADO,2019-01-01,2019-05-19,,30,M,3818.38,0.18,3131.07
42,51,10,1,3,4,ENGENHARIA AMBIENTAL,ENGENHARIAS,PRESENCIAL,NOITE,TRANCADO,2019-01-01,2023-11-22,,53,F,1924.03,0.47,1019.74
43,77,9,1,3,2,BIG DATA E INTELIGENCIA ANALITICA,TI E COMPUTACAO,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2023-04-13,EMPREGO,29,M,3693.59,0.47,1957.6
44,21,5,1,2,4,NUTRICAO,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,TRANCADO,2019-01-01,2021-02-16,,27,F,2793.89,0.01,2765.95
45,47,2,1,3,3,PRODUCAO AUDIOVISUAL,COMUNICACAO E ARTES,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,47,M,4668.78,0.21,3688.34
46,18,5,1,2,1,FISIOTERAPIA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,42,M,2121.21,0.34,1400.0
47,50,2,2,1,1,RELACOES PUBLICAS,COMUNICACAO E ARTES,SEMIPRESENCIAL,MANHA,MATRICULADO,2019-01-01,,,42,M,3219.63,0.07,2994.26
48,79,9,1,3,1,GESTAO DA TECNOLOGIA DA INFORMACAO,TI E COMPUTACAO,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,21,F,4223.62,0.39,2576.41
49,12,5,1,1,1,BIOMEDICINA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,MANHA,MATRICULADO,2019-01-01,,,20,M,4939.9,0.05,4692.9
50,57,10,1,1,4,ENGENHARIA MECANICA,ENGENHARIAS,PRESENCIAL,MANHA,TRANCADO,2019-01-01,2021-11-20,,29,M,3509.77,0.31,2421.74
51,47,2,1,2,3,PRODUCAO AUDIOVISUAL,COMUNICACAO E ARTES,PRESENCIAL,TARDE,FORMADO,2019-01-01,,,21,M,2071.45,0.56,911.44
52,17,5,3,3,3,FARMACIA,CIENCIAS BIOLOGICAS E DA SAUDE,EAD,NOITE,FORMADO,2019-01-01,,,44,F,1584.13,0.5,792.07
53,84,9,1,2,4,SISTEMAS PARA INTERNET,TI E COMPUTACAO,PRESENCIAL,TARDE,TRANCADO,2019-01-01,2021-03-15,,41,M,978.47,0.53,459.88
54,10,8,1,3,1,GESTAO DO AGRONEGOCIO,CIENCIAS AGRARIAS E MEIO AMBIENTE,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,36,F,1360.82,0.18,1115.87
55,44,2,1,2,1,CINEMA E AUDIOVISUAL,COMUNICACAO E ARTES,PRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,20,M,4349.22,0.08,4001.28
56,56,10,1,3,2,ENGENHARIA ELETRICA,ENGENHARIAS,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2021-07-10,EMPREGO,24,M,1462.03,0.47,774.88
57,52,10,1,3,1,ENGENHARIA CIVIL,ENGENHARIAS,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,43,F,3759.16,0.6,1503.66
58,21,5,2,3,4,NUTRICAO,CIENCIAS BIOLOGICAS E DA SAUDE,SEMIPRESENCIAL,NOITE,TRANCADO,2019-01-01,2020-04-12,,32,M,1048.4,0.14,901.62
59,52,10,1,3,3,ENGENHARIA CIVIL,ENGENHARIAS,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,42,M,3016.09,0.59,1236.6
60,12,5,1,3,1,BIOMEDICINA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,42,M,1653.87,0.17,1372.71
61,17,5,2,3,2,FARMACIA,CIENCIAS BIOLOGICAS E DA SAUDE,SEMIPRESENCIAL,NOITE,CANCELADO,2019-01-01,2022-10-19,TRANSFERENCIA,37,M,3652.77,0.25,2739.58
62,32,6,1,3,3,PEDAGOGIA,CIENCIAS HUMANAS,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,34,F,1595.8,0.58,670.24
63,77,9,1,1,3,BIG DATA E INTELIGENCIA ANALITICA,TI E COMPUTACAO,PRESENCIAL,MANHA,FORMADO,2019-01-01,,,21,F,1207.09,0.03,1170.88
64,32,6,1,3,2,PEDAGOGIA,CIENCIAS HUMANAS,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2022-09-30,EMPREGO,54,M,4617.61,0.02,4525.26
65,21,5,1,1,2,NUTRICAO,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,MANHA,CANCELADO,2019-01-01,2019-08-26,EMPREGO,45,F,2629.13,0.4,1577.48
66,14,5,1,2,2,EDUCACAO FISICA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,CANCELADO,2019-01-01,2020-03-30,EMPREGO,54,F,2768.81,0.15,2353.49
67,40,1,2,1,2,SEGURANCA PUBLICA,CIENCIAS JURIDICAS,SEMIPRESENCIAL,MANHA,CANCELADO,2019-01-01,2021-09-06,EMPREGO,22,M,4496.77,0.29,3192.71
68,77,9,1,3,4,BIG DATA E INTELIGENCIA ANALITICA,TI E COMPUTACAO,PRESENCIAL,NOITE,TRANCADO,2019-01-01,2019-05-11,,43,M,3524.01,0.49,1797.25
69,12,5,2,2,3,BIOMEDICINA,CIENCIAS BIOLOGICAS E DA SAUDE,SEMIPRESENCIAL,TARDE,FORMADO,2019-01-01,,,20,F,3088.5,0.06,2903.19
70,39,1,3,2,3,SEGURANCA PRIVADA,CIENCIAS JURIDICAS,EAD,TARDE,FORMADO,2019-01-01,,,47,M,2186.7,0.58,918.41
71,20,5,1,2,4,GESTAO HOSPITALAR,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,TRANCADO,2019-01-01,2020-01-14,,34,M,1339.6,0.58,562.63
72,22,5,1,2,3,ARTES VISUAIS,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,FORMADO,2019-01-01,,,51,M,4063.91,0.42,2357.07
73,46,2,2,3,4,JORNALISMO,COMUNICACAO E ARTES,SEMIPRESENCIAL,NOITE,TRANCADO,2019-01-01,2020-07-13,,31,F,2751.55,0.54,1265.71
74,87,3,1,3,3,GESTAO DE TURISMO,TURISMO E HOSPITALIDADE,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,35,M,3692.28,0.4,2215.37
75,21,5,2,3,1,NUTRICAO,CIENCIAS BIOLOGICAS E DA SAUDE,SEMIPRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,40,M,589.49,0.53,277.06
76,59,10,1,3,3,GESTAO DA PRODUCAO INDUSTRIAL,ENGENHARIAS,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,39,F,3626.79,0.11,3227.84
77,49,2,1,3,1,PUBLICIDADE E PROPAGANDA,COMUNICACAO E ARTES,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,24,M,1527.85,0.21,1207.0
78,78,9,3,3,1,CIENCIA DA COMPUTACAO,TI E COMPUTACAO,EAD,NOITE,MATRICULADO,2019-01-01,,,33,M,2071.54,0.18,1698.66
79,59,10,1,1,4,GESTAO DA PRODUCAO INDUSTRIAL,ENGENHARIAS,PRESENCIAL,MANHA,TRANCADO,2019-01-01,2022-01-25,,43,M,3615.12,0.58,1518.35
80,13,5,1,2,2,CIENCIAS BIOLOGICAS (LICENCIATURA),CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,CANCELADO,2019-01-01,2023-12-09,DESISTENCIA,23,F,2623.55,0.02,2571.08
81,20,5,1,3,1,GESTAO HOSPITALAR,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,42,M,854.6,0.43,487.12
82,82,9,3,3,3,SEGURANCA DA INFORMACAO,TI E COMPUTACAO,EAD,NOITE,FORMADO,2019-01-01,,,28,M,4928.7,0.08,4534.4
83,36,1,3,3,3,DIREITO,CIENCIAS JURIDICAS,EAD,NOITE,FORMADO,2019-01-01,,,47,F,652.01,0.37,410.77
84,19,5,2,2,1,FONOAUDIOLOGIA,CIENCIAS BIOLOGICAS E DA SAUDE,SEMIPRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,36,F,4813.14,0.21,3802.38
85,18,5,1,3,2,FISIOTERAPIA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2020-07-17,EMPREGO,30,M,1447.94,0.5,723.97
86,55,10,1,1,1,ENGENHARIA DE PRODUCAO,ENGENHARIAS,PRESENCIAL,MANHA,MATRICULADO,2019-01-01,,,46,M,621.63,0.33,416.49
87,53,10,1,3,3,ENGENHARIA DA COMPUTACAO,ENGENHARIAS,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,42,M,4875.75,0.51,2389.12
88,21,5,1,3,1,NUTRICAO,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,46,F,928.8,0.25,696.6
89,19,5,2,2,1,FONOAUDIOLOGIA,CIENCIAS BIOLOGICAS E DA SAUDE,SEMIPRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,27,F,1354.67,0.53,636.69
90,19,5,3,1,1,FONOAUDIOLOGIA,CIENCIAS BIOLOGICAS E DA SAUDE,EAD,MANHA,MATRICULADO,2019-01-01,,,26,F,4752.77,0.59,1948.64
91,41,1,1,2,2,SERVIÇOS JUDICIAIS,CIENCIAS JURIDICAS,PRESENCIAL,TARDE,CANCELADO,2019-01-01,2021-08-28,INSATISFACAO,54,F,4838.06,0.12,4257.49
92,38,1,2,2,1,SEGURANCA NO TRANSITO,CIENCIAS JURIDICAS,SEMIPRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,46,M,3325.55,0.57,1429.99
93,10,8,1,3,3,GESTAO DO AGRONEGOCIO,CIENCIAS AGRARIAS E MEIO AMBIENTE,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,46,M,965.86,0.05,917.57
94,9,8,3,3,4,GESTAO AMBIENTAL,CIENCIAS AGRARIAS E MEIO AMBIENTE,EAD,NOITE,TRANCADO,2019-01-01,2023-10-13,,41,M,4608.59,0.04,4424.25
95,41,1,2,3,1,SERVIÇOS JUDICIAIS,CIENCIAS JURIDICAS,SEMIPRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,27,M,4646.56,0.42,2695.0
96,38,1,1,3,3,SEGURANCA NO TRANSITO,CIENCIAS JURIDICAS,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,29,F,2349.72,0.49,1198.36
97,10,8,1,3,4,GESTAO DO AGRONEGOCIO,CIENCIAS AGRARIAS E MEIO AMBIENTE,PRESENCIAL,NOITE,TRANCADO,2019-01-01,2020-10-31,,51,M,2647.68,0.57,1138.5
98,17,5,1,1,3,FARMACIA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,MANHA,FORMADO,2019-01-01,,,46,M,3174.68,0.57,1365.11
99,39,1,1,2,1,SEGURANCA PRIVADA,CIENCIAS JURIDICAS,PRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,33,F,4941.39,0.03,4793.15
100,52,10,2,2,3,ENGENHARIA CIVIL,ENGENHARIAS,SEMIPRESENCIAL,TARDE,FORMADO,2019-01-01,,,47,M,3680.6,0.04,3533.38
101,22,5,2,3,4,ARTES VISUAIS,CIENCIAS BIOLOGICAS E DA SAUDE,SEMIPRESENCIAL,NOITE,TRANCADO,2019-01-01,2020-06-27,,51,M,1259.17,0.1,1133.25
102,30,6,1,3,2,MATEMATICA (BACHARELADO),CIENCIAS HUMANAS,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2019-10-07,INADIMPLENCIA,36,M,3895.54,0.58,1636.13
103,45,2,1,1,1,COMUNICACAO E INTELIGENCIA DE MERCADO,COMUNICACAO E ARTES,PRESENCIAL,MANHA,MATRICULADO,2019-01-01,,,26,F,3587.41,0.47,1901.33
104,20,5,1,3,1,GESTAO HOSPITALAR,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,44,M,2418.63,0.17,2007.46
105,47,2,2,2,4,PRODUCAO AUDIOVISUAL,COMUNICACAO E ARTES,SEMIPRESENCIAL,TARDE,TRANCADO,2019-01-01,2021-09-24,,50,F,3699.4,0.01,3662.41
106,9,8,1,2,1,GESTAO AMBIENTAL,CIENCIAS AGRARIAS E MEIO AMBIENTE,PRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,28,F,1847.76,0.01,1829.28
107,58,10,1,2,1,ESTATISTICA,ENGENHARIAS,PRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,52,M,4584.16,0.34,3025.55
108,26,6,1,3,4,GEOGRAFIA,CIENCIAS HUMANAS,PRESENCIAL,NOITE,TRANCADO,2019-01-01,2022-10-08,,18,F,2743.67,0.22,2140.06
109,25,6,1,2,3,FISICA,CIENCIAS HUMANAS,PRESENCIAL,TARDE,FORMADO,2019-01-01,,,24,F,1126.51,0.01,1115.24
110,36,1,3,3,4,DIREITO,CIENCIAS JURIDICAS,EAD,NOITE,TRANCADO,2019-01-01,2019-03-12,,45,F,4697.7,0.32,3194.44
111,13,5,1,3,3,CIENCIAS BIOLOGICAS (LICENCIATURA),CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,36,M,1589.01,0.1,1430.11
112,38,1,2,3,4,SEGURANCA NO TRANSITO,CIENCIAS JURIDICAS,SEMIPRESENCIAL,NOITE,TRANCADO,2019-01-01,2020-11-22,,24,F,3997.9,0.15,3398.22
113,83,9,1,3,2,SISTEMAS DE INFORMACAO,TI E COMPUTACAO,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2019-05-30,INADIMPLENCIA,35,F,1591.94,0.15,1353.15
114,17,5,3,3,1,FARMACIA,CIENCIAS BIOLOGICAS E DA SAUDE,EAD,NOITE,MATRICULADO,2019-01-01,,,51,F,4342.81,0.53,2041.12
115,17,5,2,3,4,FARMACIA,CIENCIAS BIOLOGICAS E DA SAUDE,SEMIPRESENCIAL,NOITE,TRANCADO,2019-01-01,2023-12-19,,55,M,1799.47,0.51,881.74
116,38,1,1,2,3,SEGURANCA NO TRANSITO,CIENCIAS JURIDICAS,PRESENCIAL,TARDE,FORMADO,2019-01-01,,,19,M,4245.95,0.01,4203.49
117,12,5,1,2,3,BIOMEDICINA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,FORMADO,2019-01-01,,,35,F,3103.07,0.49,1582.57
118,82,9,2,3,4,SEGURANCA DA INFORMACAO,TI E COMPUTACAO,SEMIPRESENCIAL,NOITE,TRANCADO,2019-01-01,2020-10-21,,45,M,2208.5,0.46,1192.59
119,20,5,1,1,1,GESTAO HOSPITALAR,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,MANHA,MATRICULADO,2019-01-01,,,39,M,3250.96,0.35,2113.12
120,44,2,2,2,2,CINEMA E AUDIOVISUAL,COMUNICACAO E ARTES,SEMIPRESENCIAL,TARDE,CANCELADO,2019-01-01,2021-06-27,EMPREGO,22,M,2135.68,0.39,1302.76
121,39,1,1,3,2,SEGURANCA PRIVADA,CIENCIAS JURIDICAS,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2021-07-10,INSATISFACAO,34,F,2248.25,0.48,1169.09
122,17,5,1,3,3,FARMACIA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,47,F,3567.21,0.17,2960.78
123,15,5,1,3,3,ENFERMAGEM,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,NOITE,FORMADO,2019-01-01,,,26,M,2787.23,0.31,1923.19
124,37,1,3,3,4,MEDIACAO,CIENCIAS JURIDICAS,EAD,NOITE,TRANCADO,2019-01-01,2021-08-01,,48,M,4447.41,0.15,3780.3
125,56,10,1,3,2,ENGENHARIA ELETRICA,ENGENHARIAS,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2023-07-10,EMPREGO,24,F,4079.86,0.16,3427.08
126,79,9,1,2,4,GESTAO DA TECNOLOGIA DA INFORMACAO,TI E COMPUTACAO,PRESENCIAL,TARDE,TRANCADO,2019-01-01,2021-06-16,,43,M,4286.18,0.43,2443.12
127,15,5,1,2,1,ENFERMAGEM,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,41,F,859.99,0.47,455.79
128,47,2,1,2,1,PRODUCAO AUDIOVISUAL,COMUNICACAO E ARTES,PRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,45,F,3313.5,0.26,2451.99
129,42,1,1,3,2,SERVIÇOS NOTARIAIS E REGISTRAIS,CIENCIAS JURIDICAS,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2023-12-24,DESISTENCIA,38,F,2002.27,0.5,1001.13
130,13,5,3,3,1,CIENCIAS BIOLOGICAS (LICENCIATURA),CIENCIAS BIOLOGICAS E DA SAUDE,EAD,NOITE,MATRICULADO,2019-01-01,,,22,M,1180.44,0.21,932.55
131,46,2,3,1,2,JORNALISMO,COMUNICACAO E ARTES,EAD,MANHA,CANCELADO,2019-01-01,2021-02-15,INSATISFACAO,55,M,1027.36,0.53,482.86
132,41,1,1,2,2,SERVIÇOS JUDICIAIS,CIENCIAS JURIDICAS,PRESENCIAL,TARDE,CANCELADO,2019-01-01,2019-06-23,INSATISFACAO,54,F,1981.64,0.48,1030.45
133,42,1,1,3,1,SERVIÇOS NOTARIAIS E REGISTRAIS,CIENCIAS JURIDICAS,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,54,F,888.34,0.21,701.79
134,11,8,3,3,3,MEDICINA VETERINARIA,CIENCIAS AGRARIAS E MEIO AMBIENTE,EAD,NOITE,FORMADO,2019-01-01,,,50,M,4091.73,0.36,2618.71
135,7,7,1,3,1,DESIGN DE PRODUTO,ARQUITETURA E URBANISMO E DESIGN,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,22,M,2173.23,0.59,891.02
136,18,5,1,3,2,FISIOTERAPIA,CIENCIAS BIOLOGICAS E DA SAUDE,PRESENCIAL,NOITE,CANCELADO,2019-01-01,2020-11-15,INADIMPLENCIA,37,M,2465.58,0.03,2391.61
137,41,1,2,2,1,SERVIÇOS JUDICIAIS,CIENCIAS JURIDICAS,SEMIPRESENCIAL,TARDE,MATRICULADO,2019-01-01,,,49,M,3719.33,0.09,3384.59
138,11,8,1,1,2,MEDICINA VETERINARIA,CIENCIAS AGRARIAS E MEIO AMBIENTE,PRESENCIAL,MANHA,CANCELADO,2019-01-01,2023-02-09,INSATISFACAO,31,F,4153.51,0.45,2284.43
139,49,2,1,3,1,PUBLICIDADE E PROPAGANDA,COMUNICACAO E ARTES,PRESENCIAL,NOITE,MATRICULADO,2019-01-01,,,38,F,3922.31,0.4,2353.39
140,3,7,1,2,3,DESIGN DE ANIMACAO,ARQUITETURA E URBANISMO E DESIGN,PRESENCIAL,TARDE,FORMADO,2019-01-01,,,42,F,4313.19,0.24,3278.02
141,8,7,1,2,2,DESIGN GRAFICO,ARQUITETURA E URBANISMO E DESIGN,PRESENCIAL,TARDE,CANCELADO,2019-01-01,2021-04-20,EMPREGO,39,M,765.49,0.49,390.4
142,43,1,3,1,3,SERVIÇOS PENAIS,CIENCIAS JURIDICAS,EAD,MANHA,FORMADO,2019-01-01,,,52,M,1242.83,0.09,1130.98
